"","ID","canonisation_score","avg_differences","lang","wikiname","variations","author","author_firstname","wikiID","freq","repo_title","repoID","pub_year","genre","text_source"
"1","ABU_TELFAN_Q335418",0.135719851904178,0.116091381043478,"GER","ABU_TELFAN","['Abu Telfan', 'Abu- Telfan']","Raabe","Wilhelm","Q335418",14,"Abu Telfan","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Raabe_Wilhelm_Abu_Telfan.xml",1867,"novel","textgrid"
"2","AHNUNG_UND_GEGENWART_Q402329",0.740328921716904,0.107741340347826,"GER","AHNUNG_UND_GEGENWART","['Ahnung und Gegenwart']","Eichendorff","Joseph von","Q402329",29,"","../../Eichendorff/ahnung/ahnung.html",1815,"(['developmental novel'], ['novel'])","Gutenberg-DE"
"3","AMANDA_UND_EDUARD_noWikiID",0.0424309919848873,0.184773149565217,"GER","AMANDA_UND_EDUARD","['Amanda und Eduard']","Mereau","Sophie","noWikiID",11,"Amanda und Eduard","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Mereau_Sophie_Amanda_und_Eduard.xml",1803,"","textgrid"
"4","ANGELA_BORGIA_noWikiID",0.0975111340573339,0.185355390434783,"GER","ANGELA_BORGIA","['Angela Borgia']","Meyer","Conrad Ferdinand","noWikiID",9,"Angela Borgia","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Meyer_Conrad_Ferdinand_Angela_Borgia.xml",1891,"novella","textgrid"
"5","ANNA_noWikiID",0.0367536016133564,0.247774487913043,"GER","ANNA","['Anna']","Schopenhauer","Adele","noWikiID",9,"Anna","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Schopenhauer_Adele_Anna.xml",1845,"novel","textgrid"
"6","ANTON_REISER_Q593385",0.827943039612669,0.0972103153043478,"GER","ANTON_REISER","['Anton Reiser']","Moritz","Karl Philipp Moritz","Q593385",36,"","../../moritz/reiser/reiser.html",1785,"(['developmental novel', 'psychological novel'], ['novel'])","Gutenberg-DE"
"7","AQUIS_SUBMERSUS_Q623355",0.389868771519071,0.234537752869565,"GER","AQUIS_SUBMERSUS","['Aquis submersus', 'In Aquis submersus']","Storm","Theodor","Q623355",9,"Aquis Submersus","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Storm_Theodor_Aquis_Submersus.xml",1878,"novella","textgrid"
"8","ASIATISCHE_BANISE_noWikiID",0.0394945910733656,0.284001087217391,"GER","ASIATISCHE_BANISE","['Asiatische Banise']","Ziegler und Kliphausen","Heinrich Anselm von","noWikiID",10,"Asiatische Banise","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Ziegler_und_Kliphausen_Heinrich_Anselm_von_Asiatische_Banise.xml",1689,"","textgrid"
"9","AUF_DEM_STAATSHOF_noWikiID",0.0741722353260478,0.218398251217391,"GER","AUF_DEM_STAATSHOF","['Auf dem Staatshof']","Storm","Theodor","noWikiID",5,"Auf dem Staatshof","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Storm_Theodor_Auf_dem_Staatshof.xml",1859,"novella","textgrid"
"10","AUS_DEM_LEBEN_EINER_FRAU_Q101323690",0.0275134422375932,0.16035371426087,"GER","AUS_DEM_LEBEN_EINER_FRAU","['Aus dem Leben einer Frau']","Aston","Louise","Q101323690",5,"Aus dem Leben einer Frau","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Aston_Louise_Aus_dem_Leben_einer_Frau.xml",1847,"([], ['novel'])","textgrid"
"11","AUS_DEM_LEBEN_EINES_TAUGENICHTS_Q777658",0.462879594039226,0.165611343217391,"GER","AUS_DEM_LEBEN_EINES_TAUGENICHTS","['Aus dem Leben eines Taugenichts', 'Taugenichts']","Eichendorff","Joseph von","Q777658",13,"Aus dem Leben eines  Taugenichts","../../Eichendorff/taugeni/taugn001.html",1826,"(['developmental novel'], ['novella'])","Gutenberg-DE"
"12","AUS_MEINEM_LEBEN._DICHTUNG_UND_WAHRHEIT_Q569377",0.838335598755431,0.102902021478261,"GER","AUS_MEINEM_LEBEN._DICHTUNG_UND_WAHRHEIT","['Dichtung und Wahrheit', 'Aus meinem Leben']","Goethe","Johann Wolfgang von","Q569377",37,"Aus meinem Leben.","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Goethe_Johann_Wolfgang_Aus_meinem_Leben.xml",1811,"(['autobiography'], ['novel'])","textgrid"
"13","BEATRICE_noWikiID",0.0560723413501725,0.12073528573913,"GER","BEATRICE","['Beatrice']","Heyse","Paul","noWikiID",1,"Beatrice","../../heyse/beatric/beatric.html",1867,"novella","Gutenberg-DE"
"14","BELPHEGOR_noWikiID",0.0794735706665683,0.237057426434783,"GER","BELPHEGOR","['Belphegor']","Wezel","Johann Karl","noWikiID",6,"Belphegor","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Wezel_Johann_Karl_Belphegor.xml",1776,"novel","textgrid"
"15","BLUMEN_noWikiID",0.0851189742374057,0.213383235826087,"GER","BLUMEN","['Blumen']","Schnitzler","Arthur","noWikiID",7,"Blumen","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Schnitzler_Arthur_Blumen.xml",1894,"novella","textgrid"
"16","BUDDENBROOKS_Q326909",0.144732511897424,0.138370575652174,"GER","BUDDENBROOKS","['Thomas Buddenbrook', 'Buddenbrooks']","Mann","Thomas","Q326909",15,"","34811",1901,"(['family saga novel', 'period novel', 'Bildungsroman', 'social problem fiction', 'saga', 'roman Ã  clef'], ['novel'])","Gutenberg-US"
"17","BUNTE_STEINE_Q1009887",0.628138424466113,0.109722200434783,"GER","BUNTE_STEINE","['Bunte Steine', 'Bunten Steine']","Stifter","Adalbert","Q1009887",22,"Bunte Steine","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Stifter_Adalbert_Bunte_Steine.xml",1853,"([], ['short story'])","textgrid"
"18","DAS_AMULETT_Q1167148",0.518885031764307,0.147775053478261,"GER","DAS_AMULETT","['Das Amulett', 'Das Amulett)8']","Meyer","Conrad Ferdinand","Q1167148",16,"Das Amulett","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Meyer_Conrad_Ferdinand_Das_Amulett.xml",1873,"novella","textgrid"
"19","DAS_LEIDEN_EINES_KNABEN_Q1169610",0.0741722353260478,0.164730367130435,"GER","DAS_LEIDEN_EINES_KNABEN","['Das Leiden eines Knaben']","Meyer","Conrad Ferdinand","Q1169610",5,"Das Leiden eines Knaben","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Meyer_Conrad_Ferdinand_Das_Leiden_eines_Knaben.xml",1877,"novella","textgrid"
"20","DAS_MARMORBILD_Q1169722",0.628138424466113,0.162923531043478,"GER","DAS_MARMORBILD","['Marmorbild', 'Das Marmorbild']","Eichendorff","Joseph von","Q1169722",22,"Das Marmorbild","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Eichendorff_Joseph_von_Das_Marmorbild.xml",1818,"([], ['novella'])","textgrid"
"21","DAS_NUSS-KERNEN_noWikiID",0.0275134422375932,0.314457129652174,"GER","DAS_NUSS-KERNEN","['Das NuÃŸ-Kernen, eine pfÃ¤lzische Idylle', 'Das NuÃŸ-Kernen']","Müller","Friedrich","noWikiID",5,"Das NuÃŸkernen","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/MÃ¼ller_Friedrich_(Maler_MÃ¼ller)_Das_NuÃŸkernen.xml",1778,"idylls","textgrid"
"22","DAS_ODFELD_Q1169997",0.33800545810469,0.168823066086957,"GER","DAS_ODFELD","['Das Odfeld', 'das Odfeld']","Raabe","Wilhelm","Q1169997",6,"Das Odfeld","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Raabe_Wilhelm_Das_Odfeld.xml",1888,"novel","textgrid"
"23","DAS_URTEIL_(KAFKA)_Q278998",0.104292668680321,0.228791917217391,"GER","DAS_URTEIL_(KAFKA)","['Das Urteil']","Kafka","Franz","Q278998",10,"Das Urteil","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Kafka_Franz_Das_Urteil.xml",1913,"(['short story'], ['narration'])","textgrid"
"24","DAS_VERLORENE_LACHEN_Q1171678",0.444348419807107,0.233287545130435,"GER","DAS_VERLORENE_LACHEN","['Das verlorene Lachen', 'Verlorene Lachen', 'Verlorenen Lachens', 'Verlorenes Lachen']","Keller","Gottfried","Q1171678",12,"Das verlorene Lachen","../../keller/lachen/lachen.html",1874,"novella","Gutenberg-DE"
"25","DER_AUFRUHR_IN_DEN_CEVENNEN_Q1192283",0.0851189742374057,0.12132932173913,"GER","DER_AUFRUHR_IN_DEN_CEVENNEN","['Der Aufruhr in den Cevennen', 'Aufruhr in den Cevennen']","Tieck","Ludwig","Q1192283",7,"Der Aufruhr in den Cevennen","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Tieck_Ludwig_Der_Aufruhr_in_den_Cevennen.xml",1826,"novella","textgrid"
"26","DER_BLONDE_ECKBERT_Q1198407",0.372234887656701,0.177824827130435,"GER","DER_BLONDE_ECKBERT","['Der blonde Eckbert', 'Der blonde Eckbert Tiecks']","Tieck","Ludwig","Q1198407",8,"Der blonde Eckbert","../../tieck/eckbert/eckbert.html",1796,"([], ['novel'])","Gutenberg-DE"
"27","DER_GEISTERSEHER_Q1193812",0.162696328389987,0.136591140434783,"GER","DER_GEISTERSEHER","['Geisterseher', 'Der Geisterseher', 'Oie Geisterseher']","Schiller","Friedrich von","Q1193812",7,"Der Geisterseher","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Schiller_Friedrich_Der_Geisterseher.xml",1787,"(['horror literature', 'fantasy'], ['novel'])","textgrid"
"28","DER_GOLDNE_SPIEGEL_noWikiID",0.0975111340573339,0.205197565217391,"GER","DER_GOLDNE_SPIEGEL","['Der Goldne Spiegel', 'Der goldne Spiegel']","Wieland","Christoph Martin","noWikiID",9,"Der goldne Spiegel","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Wieland_Christoph_Martin_Der_goldne_Spiegel.xml",1772,"novel","textgrid"
"29","DER_HEILIGE_Q1194176",0.144732511897424,0.172455222173913,"GER","DER_HEILIGE","['Der Heilige']","Meyer","Conrad Ferdinand","Q1194176",15,"Der Heilige","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Meyer_Conrad_Ferdinand_Der_Heilige.xml",1880,"([], ['novel'])","textgrid"
"30","DER_HUNGERPASTOR_Q1194487",0.235356216581709,0.0974137856521739,"GER","DER_HUNGERPASTOR","['Raabes Der Hungerpastor', 'Der Hungerpastor', 'Vom Hungerpastor', 'Hungerpastor', 'Hungerpastors', 'Mit Der Hungerpastor']","Raabe","Wilhelm","Q1194487",23,"Der Hungerpastor","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Raabe_Wilhelm_Der_Hungerpastor.xml",1864,"(['developmental novel'], ['novel'])","textgrid"
"31","DER_NACHSOMMER_Q167320",0.768032201522249,0.0882404392173913,"GER","DER_NACHSOMMER","['Der Nachsommer', 'Nachsommer', 'Der .Nachsommer']","Stifter","Adalbert","Q167320",31,"Der Nachsommer","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Stifter_Adalbert_Der_Nachsommer.xml",1857,"(['developmental novel', 'social novel'], [])","textgrid"
"32","DER_RUNENBERG_Q1196568",0.481513882543301,0.218164750086957,"GER","DER_RUNENBERG","['Runenberg', 'Der Runenberg']","Tieck","Ludwig","Q1196568",14,"Der Runenberg","../../tieck/runenbrg/runenbrg.html",1802,"([], ['fairy tale'])","Gutenberg-DE"
"33","DER_SANDMANN_(HOFFMANN)_Q798227",0.848215508034503,0.102088350956522,"GER","DER_SANDMANN_(HOFFMANN)","['Sandmann', 'Der Sandmann', 'Im Sandmann']","Hoffmann","E. T. A","Q798227",38,"Der Sandmann","../../Hoffmann/sandmann/sandmann.html",1816,"(['high literature'], [])","Gutenberg-DE"
"34","DER_SCHIMMELREITER_Q895730",0.827943039612669,0.0989531813913044,"GER","DER_SCHIMMELREITER","['Der Schimmelreiter', 'Schimmelreiter']","Storm","Theodor","Q895730",36,"Der Schimmelreiter","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Storm_Theodor_Der_Schimmelreiter.xml",1888,"([], ['novel', 'novella'])","textgrid"
"35","DER_SCHUSS_VON_DER_KANZEL_Q1196769",0.0794735706665683,0.144259296956522,"GER","DER_SCHUSS_VON_DER_KANZEL","['Der SchuÃŸ von der Kanzel', 'Der Schuss von der Kanzel']","Meyer","Conrad Ferdinand","Q1196769",6,"Der SchuÃŸ von der Kanzel","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Meyer_Conrad_Ferdinand_Der_SchuÃŸ_von_der_Kanzel.xml",1878,"([], ['novella'])","textgrid"
"36","DER_STECHLIN_(ROMAN)_Q1197130",0.904141522122553,0.0992282673043478,"GER","DER_STECHLIN_(ROMAN)","['Der Stechlin', 'Stechlin']","Fontane","Theodor","Q1197130",45,"Der Stechlin","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Fontane_Theodor_Der_Stechlin.xml",1898,"([], ['novel'])","textgrid"
"37","DER_TOD_GEORGS_noWikiID",0.0911257006455229,0.224209598608696,"GER","DER_TOD_GEORGS","['Der Tod Georgs']","Beer-Hofmann","Richard ","noWikiID",8,"Der Tod Georgs","../../beer-hof/todgeorg/todgeorg.html",1900,"novel","Gutenberg-DE"
"38","DER_UNTERTAN_Q476349",0.0318106268524673,0.13430955226087,"GER","DER_UNTERTAN","['Der Untertan']","Mann","Heirich","Q476349",7,"Der Untertan","../../mannh/untertan/untertan.html",1911,"([], ['novel'])","Gutenberg-DE"
"39","DER_WINTERGARTEN_noWikiID",0.0851189742374057,0.107087500086956,"GER","DER_WINTERGARTEN","['Der Wintergarten']","Arnim","Achim von","noWikiID",7,"Der Wintergarten","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Arnim_Ludwig_Achim_von_Der_Wintergarten.xml",1809,"collection of novellas","textgrid"
"40","DICHTER_UND_IHRE_GESELLEN_Q1209499",0.0975111340573339,0.128234728173913,"GER","DICHTER_UND_IHRE_GESELLEN","['Dichter und ihre Gesellen']","Eichendorff","Joseph von","Q1209499",9,"Dichter und ihre  Gesellen","../../Eichendorff/dichter/dichter.html",1835,"([], ['novella'])","Gutenberg-DE"
"41","DIE_ABDERITEN_Q1210777",0.0741722353260478,0.201943673478261,"GER","DIE_ABDERITEN","['Geschichte der Abderiten', 'Die Abderiten']","Wieland","Christoph Martin","Q1210777",5,"Geschichte der  Abderiten","../../wieland/abdera/abdera.html",1774,"(['satire'], [])","Gutenberg-DE"
"42","DIE_AKTEN_DES_VOGELSANGS_Q1210969",0.462879594039226,0.15721708373913,"GER","DIE_AKTEN_DES_VOGELSANGS","['Die Akten des Vogelsangs', 'Akten des Vogelsangs', 'Oie Akten des Vogelsangs']","Raabe","Wilhelm","Q1210969",13,"Die Akten des Vogelsangs","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Raabe_Wilhelm_Die_Akten_des_Vogelsangs.xml",1896,"narration","textgrid"
"43","DIE_CHRONIK_DER_SPERLINGSGASSE_Q1211874",0.425970768854918,0.155006787304348,"GER","DIE_CHRONIK_DER_SPERLINGSGASSE","['Die Chronik der Sperlingsgasse', 'Die Chronik der Sper/ingsgasse', 'Chronik der Sperlingsgasse']","Raabe","Wilhelm","Q1211874",11,"Die Chronik der Sperlingsgasse","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Raabe_Wilhelm_Die_Chronik_der_Sperlingsgasse.xml",1857,"([], ['novel'])","textgrid"
"44","DIE_ELIXIERE_DES_TEUFELS_Q600849",0.481513882543301,0.106994912,"GER","DIE_ELIXIERE_DES_TEUFELS","['Die Elixiere des Teufels', 'Elixieren des Teufels']","Hoffmann","E. T. A","Q600849",14,"Die Elixiere des  Teufels","../../Hoffmann/elexiere/elexiere.html",1815,"(['mirabilia'], ['novel'])","Gutenberg-DE"
"45","DIE_EPIGONEN_noWikiID",0.175635939901511,0.109470221565217,"GER","DIE_EPIGONEN","['Die Epigonen', 'Epigonen']","Immermann","Karl","noWikiID",32,"Die Epigonen","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Immermann_Karl_Die_Epigonen.xml",1836,"","textgrid"
"46","DIE_INNERSTE_Q1213605",0.0691979459011065,0.169341550608696,"GER","DIE_INNERSTE","['Die Innerste']","Raabe","Wilhelm","Q1213605",4,"Die Innerste","../../raabe/innerste/innerste.html",1874,"novella","Gutenberg-DE"
"47","DIE_JUDENBUCHE_Q1213685",0.481513882543301,0.17020522026087,"GER","DIE_JUDENBUCHE","['Die Judenbuche', 'Judenbuche']","Droste_Hülshoff","Annette von","Q1213685",14,"Die Judenbuche","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Droste_HÃ¼lshoff_Annette_von_Die_Judenbuche.xml",1842,"(['short story'], ['novella', 'short story', 'novel'])","textgrid"
"48","DIE_LEHRLINGE_ZU_SAIS_Q1214361",0.500199736105852,0.303732137478261,"GER","DIE_LEHRLINGE_ZU_SAIS","['Lehrlinge zu Sais', 'Die Lehrlinge zu SaÃ¯s', 'Lehrlingen zu Sais', 'Die Lehrlinge zu Sais']","Novalis","Heinrich","Q1214361",15,"Die Lehrlinge zu Sais","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Novalis_Die_Lehrlinge_zu_Sais.xml",1798,"([], ['novel'])","textgrid"
"49","DIE_LEIDEN_DES_JUNGEN_WERTHERS_Q151883",0.999997205037213,0.0953014630434783,"GER","DIE_LEIDEN_DES_JUNGEN_WERTHERS","['Werther', 'Die Leiden des jungen Werthers', 'Leiden des jungen Werther', 'die Leiden des jungen Werthers', 'Werthers', 'den Leiden des jungen Werthers', 'Leiden des jungen Werthers', 'Die Leiden des jungen Werthersc', 'Die Leiden des jungen Werther', 'Die Leiden des Jungen Wenhers', 'Werthers Leiden']","Goethe","Johann Wolfgang von","Q151883",186,"Die Leiden des jungen Werther","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Goethe_Johann_Wolfgang_Die_Leiden_des_jungen_Werther.xml",1774,"(['epistolary novel', 'diary literature', 'sentimental novel'], ['epistolary novel'])","textgrid"
"50","DIE_LEUTE_VON_SELDWYLA_Q936322",0.897461864857794,0.0987582920869566,"GER","DIE_LEUTE_VON_SELDWYLA","['Die Leute von Seldwyla', 'Seldwyla', 'Leute von Seldwyla', 'Leuten von Seldwyla']","Keller","Gottfried","Q936322",44,"Die Leute von Seldwyla","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Keller_Gottfried_Die_Leute_von_Seldwyla.xml",1856,"narration","textgrid"
"51","DIE_NIHILISTEN_noWikiID",0.0851189742374057,0.172177553913043,"GER","DIE_NIHILISTEN","['Die Nihilisten', 'Nihilisten']","Gutzkow","Karl","noWikiID",7,"Die Nihilisten","../../gutzkow/nihilist/nihilist.html",1853,"novel","Gutenberg-DE"
"52","DIE_RICHTERIN_(NOVELLE)_Q1215781",0.372234887656701,0.2507855,"GER","DIE_RICHTERIN_(NOVELLE)","['Die Richterin']","Meyer","Conrad Ferdinand","Q1215781",8,"Die Richterin","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Meyer_Conrad_Ferdinand_Die_Richterin.xml",1885,"narration","textgrid"
"53","DIE_RITTER_VOM_GEISTE_noWikiID",0.0975111340573339,0.0908771663478261,"GER","DIE_RITTER_VOM_GEISTE","['Die Ritter vom Geiste']","Gutzkow","Karl","noWikiID",9,"Die Ritter vom Geiste","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Gutzkow_Karl_Die_Ritter_vom_Geiste.xml",1850,"","textgrid"
"54","DIE_SCHWARZE_GALEERE_noWikiID",0.305392408053958,0.282998523565217,"GER","DIE_SCHWARZE_GALEERE","['Die schwarze Galeere']","Raabe","Wilhelm","noWikiID",4,"Die schwarze Galeere","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Raabe_Wilhelm_Die_schwarze_Galeere.xml",1861,"","textgrid"
"55","DIE_SCHWARZE_SPINNE_(NOVELLE)_Q502598",0.321481356814517,0.272251048434782,"GER","DIE_SCHWARZE_SPINNE_(NOVELLE)","['Die schwarze Spinne']","Gotthelf","Jeremias","Q502598",5,"Die schwarze Spinne","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Gotthelf_Jeremias_Die_schwarze_Spinne.xml",1842,"([], ['novella'])","textgrid"
