,Year,Circulating Library,mean,std
0,-50,0,0.6691095542094455,0.14975295407392603
1,-50,1,0.670290360171614,0.14020187779070464
2,-49,0,0.6699240570182898,0.15036285266049346
3,-49,1,0.6760138014712808,0.14163085452948834
4,-48,0,0.6724701749883432,0.15009188415108624
5,-48,1,0.6812318649241542,0.1412645083712793
6,-47,0,0.6731156300402784,0.1493573092886375
7,-47,1,0.6857460183129571,0.14015487883668715
8,-46,0,0.6759862868432216,0.14631506100014938
9,-46,1,0.6870539729574613,0.14419767747931395
10,-45,0,0.6801117454184288,0.14227339734634442
11,-45,1,0.6911802939777453,0.14439177454046442
12,-44,0,0.6831411196502368,0.14173245895609074
13,-44,1,0.6954131046208332,0.1418259091602455
14,-43,0,0.6863227290248326,0.1397838599791226
15,-43,1,0.7024574565048469,0.13681484846585462
16,-42,0,0.6882714000310602,0.13842268083293302
17,-42,1,0.7060482791834264,0.13394631811708796
18,-41,0,0.6915418377431131,0.1352188590597947
19,-41,1,0.7084877199389917,0.1347309690877663
20,-40,0,0.6933589297785213,0.13499771594434862
21,-40,1,0.7109047429746572,0.13379761053465172
22,-39,0,0.6986418612607345,0.13390073053758358
23,-39,1,0.7155680921634459,0.12718340291653762
24,-38,0,0.700130248390334,0.1317938972140014
25,-38,1,0.7206713895563768,0.12181668332189832
26,-37,0,0.7035351921388731,0.12882410367790212
27,-37,1,0.7221694463650099,0.12341376853196465
28,-36,0,0.7051013027684588,0.13362157126669771
29,-36,1,0.7263215958647653,0.12058971151169853
30,-35,0,0.7089639198843246,0.1298810987819146
31,-35,1,0.7261462500110144,0.11990610975079861
32,-34,0,0.7079313992027818,0.13062396494541637
33,-34,1,0.7259772341918026,0.12078536572270891
34,-33,0,0.7092571274046588,0.13272383229433396
35,-33,1,0.72651688113241,0.12270698934057382
36,-32,0,0.7143882982902255,0.12478699173710266
37,-32,1,0.727475885633847,0.12425055077112586
38,-31,0,0.7157616021486098,0.12761762118616793
39,-31,1,0.7317771467716357,0.11936468235378106
40,-30,0,0.7183939746329396,0.1241424543246834
41,-30,1,0.7317837497672176,0.12199845257678915
42,-29,0,0.7160929803651932,0.12641128340641997
43,-29,1,0.7342884189347328,0.12192497464896883
44,-28,0,0.7199723360518192,0.12377547119366926
45,-28,1,0.7345810051138335,0.12134755778599678
46,-27,0,0.7188886214990403,0.1264075597792828
47,-27,1,0.738532387234583,0.11450619598795062
48,-26,0,0.7201422219504052,0.12463319078491521
49,-26,1,0.7415430477823286,0.11127883769972922
50,-25,0,0.7221169155747151,0.1254090492497821
51,-25,1,0.743885540296917,0.11142695128573406
52,-24,0,0.7245042940186859,0.12797232399464145
53,-24,1,0.7469140385200493,0.11069003589275499
54,-23,0,0.7234615254972402,0.1316675799691983
55,-23,1,0.7511978627555683,0.1073761484017201
56,-22,0,0.7226389406719412,0.13752390549762816
57,-22,1,0.7519704054162921,0.11285187383769223
58,-21,0,0.7278794504054338,0.12859211688297473
59,-21,1,0.7530000676449011,0.11254910530869043
60,-20,0,0.7299103566673497,0.12969712144053364
61,-20,1,0.7545824317352067,0.11098115132323728
62,-19,0,0.7333800670879657,0.12800164109516413
63,-19,1,0.7539716230977959,0.11540260711884753
64,-18,0,0.7347329397719539,0.12703397490130594
65,-18,1,0.7568997745889895,0.11361405965072527
66,-17,0,0.7381082943809196,0.12685856086574135
67,-17,1,0.7612100974555188,0.11183404809488544
68,-16,0,0.7391976248940169,0.12825177300778445
69,-16,1,0.7632755034712072,0.11147754641581153
70,-15,0,0.7428095041280892,0.12758291880715236
71,-15,1,0.7665195259190339,0.10659088699034594
72,-14,0,0.7445422585973914,0.1268839833486245
73,-14,1,0.7684438377941081,0.10739707643738272
74,-13,0,0.7479733359755143,0.12529664089690218
75,-13,1,0.7716108714745759,0.1079075312167479
76,-12,0,0.7505945256634974,0.12390352128723517
77,-12,1,0.7745099606664106,0.10800227018864154
78,-11,0,0.7543032910644586,0.12181896208241298
79,-11,1,0.774895030619687,0.1131336075047147
80,-10,0,0.7567007146635292,0.12182400967932801
81,-10,1,0.7776348523920256,0.11030256150390182
82,-9,0,0.7594594286143852,0.12098058375718503
83,-9,1,0.780143753855288,0.10787729398543826
84,-8,0,0.7609041743257293,0.1226135525887312
85,-8,1,0.7848891658418352,0.10544614882689969
86,-7,0,0.7635241586028688,0.12272102238967325
87,-7,1,0.7874588061231835,0.10451717651900172
88,-6,0,0.7677253854794307,0.11789920041558558
89,-6,1,0.7894585323804046,0.10569112067145092
90,-5,0,0.7702488950083863,0.1157723128870921
91,-5,1,0.7939386456199606,0.10678843343991105
92,-4,0,0.7798137637919429,0.11427208833546497
93,-4,1,0.814365659043249,0.09655954715317064
94,-3,0,0.778278409009879,0.11910077750819545
95,-3,1,0.8176291816699638,0.09275379933115867
96,-2,0,0.779824686136494,0.118960093643225
97,-2,1,0.8192021846437806,0.09214952483604426
98,-1,0,0.7817124619605754,0.11461340850813356
99,-1,1,0.8215774833779164,0.09000593097939262
100,0,0,0.78216321683126,0.11407609061744178
101,0,1,0.8226501722837636,0.08956598757681562
102,1,0,0.7841072310513052,0.11043307326543611
103,1,1,0.8240788346416754,0.08933695404158938
104,2,0,0.7844202137060863,0.1080929974354822
105,2,1,0.8244522324551847,0.08539880308386837
106,3,0,0.7829621618580099,0.1093847680916034
107,3,1,0.8234836116061857,0.08480598678024194
108,4,0,0.7822992226106232,0.11065440830087624
109,4,1,0.8218949255210497,0.08520608120937757
110,5,0,0.7826089095291789,0.11301432493890623
111,5,1,0.8195809272891156,0.08569869398750689
112,6,0,0.772241531559134,0.11345750366407106
113,6,1,0.8056946610645218,0.0869493993237717
114,7,0,0.7697969802439967,0.11430041678991573
115,7,1,0.8026508240933722,0.08884549615341703
116,8,0,0.769303899410191,0.11414312694355028
117,8,1,0.7988369273370626,0.0926970818351512
118,9,0,0.7656077204120724,0.11771470218180262
119,9,1,0.7981975525859254,0.09015029341216431
120,10,0,0.7613567698856598,0.11915848029798923
121,10,1,0.7965016667295916,0.08953947925935624
122,11,0,0.7600012103468589,0.11836101118702684
123,11,1,0.796137799095319,0.09164277958709939
124,12,0,0.7565764352726795,0.1180870789914254
125,12,1,0.7945376090681957,0.0943608439295366
126,13,0,0.7564205985637081,0.11148208245182592
127,13,1,0.7927990496488874,0.09601676311890435
128,14,0,0.7546346454101689,0.11034956820213776
129,14,1,0.7919801167717133,0.09527271658068415
130,15,0,0.7517817322917901,0.11283487175137986
131,15,1,0.7904895127473714,0.09637993265661099
132,16,0,0.7558268022310756,0.10596696450761244
133,16,1,0.7885766990400608,0.09847894930455214
134,17,0,0.755073737305232,0.104342970159667
135,17,1,0.7857552567224425,0.10246811233057417
136,18,0,0.7532184682426245,0.10581423664684751
137,18,1,0.788036455995559,0.09595974206064158
138,19,0,0.7547651971751105,0.1011374733650611
139,19,1,0.7856902569703286,0.09653953865016415
140,20,0,0.7539228173393595,0.10286622111414451
141,20,1,0.7844690233692938,0.09565718128687839
142,21,0,0.7540111292928694,0.10266475527029738
143,21,1,0.7848791313379276,0.09459419708501692
144,22,0,0.7523244024057099,0.1032480443232773
145,22,1,0.7827216393785202,0.09396278399392598
146,23,0,0.7479163142373972,0.10709138080735034
147,23,1,0.7807112766544092,0.09581621624678621
148,24,0,0.7426213681863278,0.11141647612181149
149,24,1,0.7792988626722069,0.09632906138743093
150,25,0,0.7412147464125012,0.10836439361970893
151,25,1,0.7776911472848965,0.09685770575672924
152,26,0,0.7382238133080583,0.10674036203923022
153,26,1,0.7759617657681094,0.09787978232231957
154,27,0,0.736458910651785,0.10711307499118948
155,27,1,0.77338610230786,0.09876136541730154
156,28,0,0.7334544015447386,0.10866822304302505
157,28,1,0.7708774355194927,0.10111984660253084
158,29,0,0.7324144242017598,0.11311028344309937
159,29,1,0.7691254595683206,0.10105208070821292
160,30,0,0.7309038282265198,0.11535450454366225
161,30,1,0.7696664657812079,0.10045955482269187
162,31,0,0.730124544251986,0.11598376232751863
163,31,1,0.7680872719048777,0.10135040080295256
164,32,0,0.728720818467213,0.11449379986467895
165,32,1,0.7685584661691677,0.10316294984905727
166,33,0,0.7280517196080638,0.11432260712941403
167,33,1,0.767245981810441,0.10419633995421577
168,34,0,0.728467542191783,0.11230898269463445
169,34,1,0.7680829618076009,0.10418611483674943
170,35,0,0.7259788705860108,0.10840973560692654
171,35,1,0.769820110404538,0.10336567194753579
172,36,0,0.7224523510797182,0.10792110547877183
173,36,1,0.7690215333352503,0.10354973831722504
174,37,0,0.7214803148436827,0.10733109626769875
175,37,1,0.7712341240877216,0.10219667788021868
176,38,0,0.7185819397301589,0.1093536037818305
177,38,1,0.7676786299759001,0.10272053172485429
178,39,0,0.7164089595817181,0.110015963356775
179,39,1,0.7660226589313773,0.1033129804173268
180,40,0,0.7161528707729048,0.11207676775650227
181,40,1,0.7647991381011792,0.10510889701665167
182,41,0,0.7144339631803459,0.11384900492932555
183,41,1,0.764069880369669,0.10532690091644888
184,42,0,0.71211981040923,0.11486825922679195
185,42,1,0.7642036942410129,0.10498037822063302
186,43,0,0.7114218708987297,0.1152476491984116
187,43,1,0.7631145895556867,0.10381083250338966
188,44,0,0.7112505182072026,0.11559997546446182
189,44,1,0.7612670873033985,0.10332552961862874
190,45,0,0.7071988678949312,0.11828403337498053
191,45,1,0.7608647342151719,0.1042420818896331
192,46,0,0.7067037043430684,0.119009377301012
193,46,1,0.7583834284153471,0.10577888698053729
194,47,0,0.7046913534496855,0.1178973899459857
195,47,1,0.7574560249280512,0.10407910534670409
196,48,0,0.7022214433025051,0.1194210003789494
197,48,1,0.7549749855344665,0.10447347436519082
198,49,0,0.7055089473670944,0.1181108670582609
199,49,1,0.7527475374339101,0.10375397343087513
200,50,0,0.7034351312287054,0.1201537989068101
201,50,1,0.7516809191965208,0.10370814955124223
