wikiname;syllabi;score_syllabi;freq_y;
A_BELEAGUERED_CITY;;;;
A_CHILD_OF_THE_JAGO;;;;
A_CHRISTMAS_CAROL;;;;
A_COMPLETE_COLLECTION_OF_GENTEEL_AND_INGENIOUS_CONVERSATION;;;;
A_CRYSTAL_AGE;;;;
A_DARK_NIGHT'S_WORK;;;;
A_DRAMA_IN_MUSLIN;;;;
A_DREAM_OF_JOHN_BALL;;;;
A_HOLIDAY_ROMANCE;;;;
A_HOUSE_TO_LET;;;;
A_JOURNAL_OF_THE_PLAGUE_YEAR;;;;
A_JOURNEY_FROM_THIS_WORLD_TO_THE_NEXT;;;;
A_LADY'S_LIFE_IN_THE_ROCKY_MOUNTAINS;;;;
A_LAODICEAN;;;;
A_LEGEND_OF_MONTROSE;;;;
A_LITTLE_PRINCESS;;;;
A_MERE_ACCIDENT;;;;
A_MODERN_UTOPIA;1;100;2;
A_MODEST_PROPOSAL;1;100;1;
A_PAIR_OF_BLUE_EYES;;;;
A_PATCH-WORK_SCREEN_FOR_THE_LADIES;;;;
A_POLITICAL_ROMANCE;;;;
A_RIDE_ACROSS_PALESTINE;;;;
A_ROMANCE_OF_TWO_WORLDS;;;;
A_ROOM_WITH_A_VIEW;1;100;1;
A_SENTIMENTAL_JOURNEY_THROUGH_FRANCE_AND_ITALY;1;90;1;
A_SICILIAN_ROMANCE;;;;
A_SIMPLE_STORY;1;100;2;
A_SON_OF_THE_SOIL;;;;
A_SPORTSMAN'S_SKETCHES;;;;
A_STORY_OF_THE_STONE_AGE;;;;
A_STUDY_IN_SCARLET;;;;
A_TALE_OF_A_TUB;1;95;1;
A_TALE_OF_TWO_CITIES;;;;
A_WINDOW_IN_THRUMS;;;;
A_WORLD_OF_GIRLS;;;;
ACROSS_THE_ZODIAC;;;;
ACTIONS_AND_REACTIONS;;;;
ADAM_BEDE;1;100;3;
ADELA_CATHCART;;;;
ADELINE_MOWBRAY;1;90;1;
ADVENTURES_OF_A_PINCUSHION;;;;
AFTER_DARK;;;;
AFTER_LONDON_OR,_WILD_ENGLAND;;;;
AGNES_GREY;1;100;1;
ALEC_FORBES_OF_HOWGLEN;;;;
ALICE'S_ADVENTURES_IN_WONDERLAND;1;100;3;
ALL_SORTS_AND_CONDITIONS_OF_MEN;;;;
ALLAN_QUATERMAIN_(NOVEL);;;;
ALMAYER'S_FOLLY;;;;
ALTON_LOCKE;1;100;1;
AMY_FOSTER;;;;
AN_APOLOGY_FOR_THE_LIFE_OF_MRS._SHAMELA_ANDREWS;;;;
AN_IRISH_COUSIN;;;;
AN_OUTCAST_OF_THE_ISLANDS;;;;
ANN_VERONICA;;;;
ANNA_ST_IVES;;;;
ANNALS_OF_THE_PARISH;;;;
ANTAR;;;;
ARMADALE;;;;
ARTHUR_MERVYN;;;;
AT_THE_BACK_OF_THE_NORTH_WIND;;;;
AT_THE_END_OF_THE_PASSAGE;;;;
AULD_LICHT_IDYLLS;;;;
AURORA_FLOYD;;;;
AYESHA_(NOVEL);;;;
BARCHESTER_TOWERS;1;100;2;
BASIL;;;;
BELINDA;1;100;1;
BLACK_BEAUTY;;;;
BLEAK_HOUSE;1;100;5;
BLIND_LOVE;;;;
BORN_IN_EXILE;;;;
BROKEN_TO_HARNESS;;;;
CALEB_WILLIAMS;1;100;5;
CALLISTA_(NOVEL);;;;
CAMILLA;;;;
CAPTAIN_SINGLETON;;;;
CAPTAINS_COURAGEOUS;;;;
CARMILLA;;;;
CARNIVAL;;;;
CARROTS;;;;
CASTLE_RACKRENT;1;100;3;
CASTLE_RICHMOND;;;;
CATHERINE,_A_STORY;;;;
CATRIONA;;;;
CECILIA;1;100;1;
CELESTINA;;;;
CELIBATES;;;;
CHANCE;;;;
CHARLOTTE_TEMPLE;;;;
CHILDREN_OF_THE_GHETTO;;;;
CHRONICLES_OF_THE_CANONGATE;;;;
CITY_SCENES;;;;
CLARISSA;1;100;3;
CLEG_KELLY;;;;
COCK_AND_ANCHOR;;;;
COELEBS_IN_SEARCH_OF_A_WIFE;;;;
COMETH_UP_AS_A_FLOWER;;;;
CONFESSIONS_OF_A_THUG_(NOVEL);;;;
CONFESSIONS_OF_A_YOUNG_MAN;;;;
CONFESSIONS_OF_AN_ENGLISH_OPIUM-EATER;1;97.2972973;3;
CONINGSBY;1;100;1;
CORAL_ISLAND;;;;
COUNT_ROBERT_OF_PARIS;;;;
COUSIN_PHILLIS;1;100;1;
CRANFORD_(NOVEL);1;90;2;
CROTCHET_CASTLE;;;;
DANIEL_DERONDA;1;100;2;
DAUGHTERS_OF_MEN;;;;
DAVID_COPPERFIELD;1;100;4;
DAVID_ELGINBROD;;;;
DE_PROFUNDIS_(LETTER);;;;
DEERBROOK;;;;
DEMOS;;;;
DESPERATE_REMEDIES;;;;
DIANA_OF_THE_CROSSWAYS;;;;
DISCIPLINE;;;;
DOCTOR_THORNE;;;;
DOMBEY_AND_SON;1;100;1;
DR_JEKYLL_AND_MR_HYDE;;;;
DRACULA;1;100;4;
DREAMERS_OF_THE_GHETTO;;;;
DUBLINERS;1;100;2;
EAST_LYNNE;1;100;1;
EMMA_(NOVEL);1;90;6;
EMMA_OR_THE_UNFORTUNATE_ATTACHMENT;;;;
EMMELINE;1;100;1;
ENNUI;1;100;1;
EREWHON;1;100;2;
EREWHON_REVISITED;1;90;2;
ERIC_OR_LITTLE_BY_LITTLE;;;;
ESTHER;;;;
ESTHER_WATERS;1;100;1;
EUGENE_ARAM_(NOVEL);;;;
EVELINA;1;100;4;
EVENINGS_AT_HOME;;;;
EXILUS;;;;
FANNY_HILL;1;100;2;
FANTOMINA;1;100;1;
FAR_FROM_THE_MADDING_CROWD;1;100;1;
FARDOROUGHA_THE_MISER;;;;
FELIX_HOLT_THE_RADICAL;;;;
FIVE_CHILDREN_AND_IT;;;;
FLATLAND;;;;
FOR_THE_TERM_OF_HIS_NATURAL_LIFE;;;;
FORTUNATE_FOUNDLINGS;;;;
FRANKENSTEIN;1;100;7;
GHETTO_TRAGEDIES;;;;
GLENARVON;;;;
GOING_TO_MAYNOOTH;;;;
GRANNY'S_WONDERFUL_CHAIR;;;;
GREAT_EXPECTATIONS;1;100;6;
GULLIVER'S_TRAVELS;1;100;7;
GUY_MANNERING;;;;
HALF_A_LIFE-TIME_AGO;;;;
HARD_CASH_(NOVEL);;;;
HARD_TIMES_(NOVEL);1;90;3;
HARRINGTON;;;;
HAUNTINGS;;;;
HE_KNEW_HE_WAS_RIGHT;;;;
HEADLONG_HALL;;;;
HEART_AND_SCIENCE;;;;
HEART_OF_DARKNESS;1;95;6;
HELBECK_OF_BANNISDALE;;;;
HELEN;;;;
HENRY_DUNBAR;;;;
HEREWARD_THE_WAKE_(NOVEL);;;;
HERMSPRONG;1;100;1;
HESTER;1;100;1;
HIDE_AND_SEEK;;;;
HISTORY_OF_JOHN_BULL;;;;
HOLIDAY_HOUSE;;;;
HOWARDS_END;1;100;4;
HYMNS_IN_PROSE_FOR_CHILDREN;;;;
IMAGINARY_PORTRAITS;;;;
IMPRESSIONS_OF_THEOPHRASTUS_SUCH;;;;
IN_A_GLASS_DARKLY;;;;
IN_THE_YEAR_OF_JUBILEE;;;;
IT_IS_NEVER_TOO_LATE_TO_MEND_(NOVEL);;;;
IVANHOE;1;100;2;
JACK_SHEPPARD;;;;
JANE_EYRE;1;100;6;
JESSICA'S_FIRST_PRAYER;;;;
JEZEBEL'S_DAUGHTER;;;;
JOHN_BURNET_OF_BARNS;;;;
JOHN_HALIFAX_GENTLEMAN;;;;
JONATHAN_WILD;;;;
JORROCK'S_JAUNTS_AND_JOLLITIES;;;;
JOSEPH_ANDREWS;1;100;6;
JUDE_THE_OBSCURE;1;100;6;
JUST_SO_STORIES;;;;
KENILWORTH;;;;
KIDNAPPED_(NOVEL);1;90;1;
KIM_(NOVEL);1;90;5;
KING_SOLOMON'S_MINES;1;100;1;
KIPPS;;;;
KNOCKNAGOW;;;;
LADY_AUDLEY'S_SECRET;1;100;4;
LEVER'S_LORD_KILGOBBIN;;;;
LIBER_AMORIS;;;;
LIFE_AND_ADVENTURES_OF_PETER_WILKINS;;;;
LIFE_AND_PERAMBULATIONS_OF_A_MOUSE;;;;
LIFE'S_LITTLE_IRONIES;;;;
LILITH;;;;
LITTLE_DORRIT;;;;
LITTLE_LORD_FAUNTLEROY;;;;
LONGSWORD_(NOVEL);;;;
LORD_JIM;1;100;5;
LORNA_DOONE;;;;
LOSS_AND_GAIN;;;;
LOST_DIARIES;;;;
LOVE_AMONG_THE_RUINS;;;;
LOVE_AND_MADNESS;;;;
LOVE_AND_MR_LEWISHAM;;;;
LOVE_IN_EXCESS_OR_THE_FATAL_ENQUIRY;;1;90;1
LOVE_INTRIGUES;;;;
MADAM_HOW_AND_LADY_WHY;;;;
MAN_AND_WIFE_(NOVEL);;;;
MANSFIELD_PARK;1;100;2;
MARIA_OR_THE_WRONGS_OF_WOMAN;1;98.24561404;2;
MARIUS_THE_EPICUREAN;;;;
MARRIAGE;1;100;1;
MARTIN_CHUZZLEWIT;;;;
MARY_A_FICTION;1;96.55172414;2;
MARY_BARTON;1;100;5;
MASTERMAN_READY_OR_THE_WRECK_OF_THE_PACIFIC;;;;
MATHILDA;;;;
MAX;;;;
MAZEPPA;;;;
MELMOTH_THE_WANDERER;1;100;3;
MEMOIRS_OF_A_CAVALIER;;;;
MEMOIRS_OF_A_MAGDALEN;;;;
MEMOIRS_OF_CARWIN_THE_BILOQUIST;;;;
MEMOIRS_OF_EMMA_COURTNEY;;;;
MICAH_CLARKE;;;;
MIDDLEMARCH;1;100;7;
MILLENIUM_HALL;;;;
MOLL_FLANDERS;1;100;7;
MOPSA_THE_FAIRY;;;;
MORAL_TALES;;;;
MR_MIDSHIPMAN_EASY;;;;
MY_KALULU_PRINCE,_KING,_AND_SLAVE;;;;
MY_LADY_LUDLOW;;;;
MY_NEW_CURATE;;;;
NATURE_AND_ART;1;100;1;
NEW_ARABIAN_NIGHTS;;;;
NEW_GRUB_STREET;1;100;1;
NEWS_FROM_NOWHERE;1;100;3;
NIGHT_AND_MORNING;;;;
NIGHTMARE_ABBEY;;;;
NO_NAME_(NOVEL);;;;
NO_THOROUGHFARE;;;;
NORTH_AND_SOUTH_(GASKELL_NOVEL);1;90;4;
NORTHANGER_ABBEY;1;100;3;
NOSTROMO;1;100;2;
NOUGHTS_&_CROSSES;;;;
ODD_MAN_OUT;;;;
ODOUR_OF_CHRYSANTHEMUMS;;;;
OLD_MORTALITY;1;90;1;
OLIVER_TWIST;1;100;2;
ON_THE_FACE_OF_THE_WATERS;;;;
ORIGINAL_STORIES_FROM_REAL_LIFE;;;;
ORLEY_FARM_(NOVEL);;;;
OROONOKO;1;100;5;
OUR_MUTUAL_FRIEND;;;;
OUR_VILLAGE;;;;
OUT_ON_THE_PAMPAS;;;;
PAMELA_OR_VIRTUE_REWARDED;1;90;6;
PANDORA;;;;
PATRONAGE_(NOVEL);;;;
PENDENNIS;;;;
PERSUASION_(NOVEL);1;90;2;
PETER_AND_WENDY;;;;
PETER_THE_WHALER;;;;
PETER'S_PENCE;;;;
PHANTASTES;;;;
PHILISTIA;;;;
PHINEAS_REDUX;;;;
PLAIN_TALES_FROM_THE_HILLS;;;;
PLATTNER_STORY;;;;
POPULAR_TALES;;;;
PRIDE_AND_PREJUDICE;1;100;5;
PRINCE_RICARDO_OF_PANTOUFLIA;;;;
PUCK_OF_POOK'S_HILL;;;;
QUENTIN_DURWARD;;;;
RECOLLECTIONS_OF_A_DETECTIVE_POLICE_OFFICER;;;;
RECORDS_OF_A_GIRLHOOD;;;;
RED_POTTAGE;;;;
REDGAUNTLET;;;;
RINGAN_GILHAIZE;;;;
ROB_ROY;;;;
ROBERT_ELSMERE;;;;
ROBERT_FALCONER;;;;
ROBINSON_CRUSOE;1;100;7;
ROMOLA;;;;
ROOKWOOD_(NOVEL);;;;
ROXANA;1;92.30769231;1;
RUJUB_THE_JUGGLER;;;;
RUTH;;;;
SAINT_RONAN'S_WELL;;;;
SALEM_CHAPEL;;;;
SANDERS_OF_THE_RIVER;;;;
SANDITON;;;;
SARTOR_RESARTUS;1;100;4;
SCENES_OF_CLERICAL_LIFE;;;;
SECRESY;;;;
SELF-CONTROL_(NOVEL);;;;
SENSE_AND_SENSIBILITY;1;100;2;
SENTIMENTAL_TOMMY;;;;
SEVEN_LITTLE_AUSTRALIANS;;;;
SHE_A_HISTORY_OF_ADVENTURE;;;;
SHIRLEY_(NOVEL);1;90;1;
SILAS_MARNER;1;100;1;
SING_A_SONG_OF_SIXPENCE;;;;
SIR_GIBBIE;;;;
SIR_NIGEL;;;;
SKETCHES_BY_BOZ;;;;
SOME_EXPERIENCES_OF_AN_IRISH_R.M.;;;;
SON_OF_MARS;;;;
SONS_AND_LOVERS;1;100;5;
SPIES_OF_THE_KAISER;;;;
ST_IVES;;;;
ST_LEON;;;;
ST_MARTIN'S_EVE;;;;
STALKY_&_CO.;;;;
STELLA_MARIS;;;;
STORIES_OF_RED_HANRAHAN;;;;
SUNRISE;;;;
SUSPIRIA_DE_PROFUNDIS;;;;
SYBIL;1;100;2;
SYLVIAS_LOVERS;;;;
SYLVIE_AND_BRUNO;;;;
TALE_OF_TWO_BAD_MICE;;;;
TALES_FROM_SHAKESPEARE;1;100;1;
TALES_OF_FASHIONABLE_LIFE;;;;
TALES_OF_MEAN_STREETS;;;;
TALES_OF_UNREST;;;;
TANCRED_(NOVEL);;;;
TESS_OF_THE_D'URBERVILLES;1;100;7;
THE_ABBOT;;;;
THE_ABSENTEE;;;;
THE_ADVENTURES_OF_A_BROWNIE;;;;
THE_ADVENTURES_OF_ANTHONY_VARNISH;;;;
THE_ADVENTURES_OF_DAVID_SIMPLE;1;90;1;
THE_ADVENTURES_OF_HAJJI_BABA;;;;
THE_ADVENTURES_OF_HUGH_TREVOR;;;;
THE_ADVENTURES_OF_PEREGRINE_PICKLE;;;;
THE_ADVENTURES_OF_RIVELLA;;;;
THE_ADVENTURES_OF_RODERICK_RANDOM;;;;
THE_ADVENTURES_OF_SHERLOCK_HOLMES;;;;
THE_ALTAR_OF_THE_DEAD;;;;
THE_AMBASSADORS;;;;
THE_AMERICAN;;;;
THE_ANTI-PAMELA;;;;
THE_ANTIQUARY;;;;
THE_ASPERN_PAPERS;;;;
THE_AUTOBIOGRAPHY_OF_MARK_RUTHERFORD;;;;
THE_AWKWARD_AGE;;;;
THE_AYRSHIRE_LEGATEES;;;;
THE_BATTLE_OF_DORKING;;;;
THE_BATTLE_OF_THE_BOOKS;;;;
