wikiname;syllabi;score_syllabi;freq_y;
THE_BEACH_OF_FALESA;;;;
THE_BEETLE_(NOVEL);;;;
THE_BETH_BOOK;;;;
THE_BICKERSTAFF_PAPERS;;;;
THE_BLACK_ARROW;;;;
THE_BLACK_DWARF;;;;
THE_BLACK_PROPHET;;;;
THE_BODY-SNATCHER;;;;
THE_BOOK_OF_WONDER;;;;
THE_BRIDE_OF_LAMMERMOOR;;;;
THE_BRITISH_BARBARIANS;;;;
THE_BROWNIE_OF_BODSBECK;;;;
THE_CANTERVILLE_GHOST;;;;
THE_CARVED_LIONS;;;;
THE_CASTLE_OF_OTRANTO;1;100;7;
THE_CASTLE_OF_WOLFENBACH;1;100;1;
THE_CASTLES_OF_ATHLIN_AND_DUNBAYNE;;;;
THE_CAXTONS;;;;
THE_CHANGELING;;;;
THE_CHANNINGS_(NOVEL);;;;
THE_CHILDREN_OF_THE_ABBEY;;;;
THE_CHILDREN_OF_THE_NEW_FOREST;;;;
THE_CHIMES;;;;
THE_CLAYHANGER;;;;
THE_CLEVER_WOMAN_OF_THE_FAMILY;;;;
THE_CLOISTER_AND_THE_HEARTH;;;;
THE_COMING_OF_CUCULAIN;;;;
THE_CONFESSIONS_OF_HARRY_LORREQUER;;;;
THE_CONSOLIDATOR;;;;
THE_COUNTRY_OF_THE_BLIND;;;;
THE_CRICKET_ON_THE_HEARTH;;;;
THE_CROCK_OF_GOLD_(NOVEL);;;;
THE_CROWN_OF_SUCCESS;;;;
THE_DARK_FLOWER;;;;
THE_DAYS_OF_AULD_LANGSYNE;;;;
THE_DEAD_SECRET;;;;
THE_DEMI-GODS;;;;
THE_DIARY_OF_A_NOBODY;;;;
THE_DOCTOR'S_WIFE_(MOORE_NOVEL);;;;
THE_DUKE'S_CHILDREN;;;;
THE_DYNAMITER;;;;
THE_EBB-TIDE;;;;
THE_EGOIST_(NOVEL);1;90;3;
THE_EMIGRANTS_OF_AHADARRA;;;;
THE_ENCHANTED_CASTLE;;;;
THE_ENTAIL;;;;
THE_EUSTACE_DIAMONDS;;;;
THE_EVIL_GUEST;;;;
THE_EXECUTOR;;;;
THE_EXPEDITION_OF_HUMPHRY_CLINKER;1;90;5;
THE_EXPERIENCES_OF_LOVEDAY_BROOKE,_LADY_DETECTIVE;;;;
THE_FAIR_JILT;;;;
THE_FAIR_MAID_OF_PERTH;;;;
THE_FAIRCHILD_FAMILY;;;;
THE_FALLEN_LEAVES_(BOOK);;;;
THE_FATHER_AND_DAUGHTER;;;;
THE_FEMALE_QUIXOTE;1;100;2;
THE_FIDDLER_OF_THE_REELS;;;;
THE_FIGURE_IN_THE_CARPET;;;;
THE_FIRST_MEN_IN_THE_MOON;;;;
THE_FIXED_PERIOD;;;;
THE_FOOD_OF_THE_GODS_AND_HOW_IT_CAME_TO_EARTH;;;;
THE_FOOL_OF_QUALITY;;;;
THE_FORSYTE_SAGA;;;;
THE_FORTUNES_OF_NIGEL;;;;
THE_FROZEN_DEEP;;;;
THE_GENTLEMAN;;;;
THE_GOLDEN_AGE;;;;
THE_GOLDEN_BOWL;;;;
THE_GORILLA_HUNTERS;;;;
THE_GOVERNESS_OR,_THE_LITTLE_FEMALE_ACADEMY;;1;90;1
THE_GREAT_GOD_PAN;;;;
THE_GREAT_TABOO;;;;
THE_GREAT_WAR_IN_ENGLAND_IN_1897;;;;
THE_GREEN_CARNATION;;;;
THE_GRIM_SMILE_OF_THE_FIVE_TOWNS;;;;
THE_HAPPY_PRINCE_AND_OTHER_TALES;;;;
THE_HAUNTED_HOUSE;;;;
THE_HAUNTED_MAN_AND_THE_GHOST'S_BARGAIN;;;;
THE_HEART_OF_MIDLOTHIAN;1;100;3;
THE_HEAVENLY_TWINS;;;;
THE_HEIR_OF_REDCLYFFE;;;;
THE_HERO;;;;
THE_HEROINE;;;;
THE_HILL;;;;
THE_HILL_OF_DREAMS;;;;
THE_HISTORY_AND_REMARKABLE_LIFE_OF_THE_TRULY_HONOURABLE_COL;;;;
THE_HISTORY_OF_EMILY_MONTAGUE;;;;
THE_HISTORY_OF_JACK_CONNOR;;;;
THE_HISTORY_OF_LITTLE_GOODY_TWO-SHOES;;;;
THE_HISTORY_OF_MISS_BETSY_THOUGHTLESS;;;;
THE_HISTORY_OF_MR_POLLY;;;;
THE_HISTORY_OF_RASSELAS,_PRINCE_OF_ABYSSINIA;1;90;2;
THE_HISTORY_OF_SANDFORD_AND_MERTON;;;;
THE_HISTORY_OF_SIR_CHARLES_GRANDISON;;;;
THE_HISTORY_OF_THE_COUNTESS_OF_DELLWYN;;;;
THE_HISTORY_OF_THE_FAIRCHILD_FAMILY;;;;
THE_HISTORY_OF_THE_NUN;;;;
THE_HISTORY_OF_TOM_JONES,_A_FOUNDLING;1;90;7;
THE_HORRORS_OF_OAKENDALE_ABBEY;;;;
THE_HOUND_OF_THE_BASKERVILLES;1;100;1;
THE_HOUSE_BY_THE_CHURCHYARD;;;;
THE_HOUSE_ON_THE_BORDERLAND;;;;
THE_HOUSE_WITH_THE_GREEN_SHUTTERS;1;100;1;
THE_INHERITORS_(CONRAD_AND_FORD_NOVEL);;;;
THE_INTERESTING_NARRATIVE_OF_THE_LIFE_OF_OLAUDAH_EQUIANO;1;90;1;
THE_INTERPRETERS;;;;
THE_INVISIBLE_MAN;;;;
THE_ISLAND_OF_DOCTOR_MOREAU;1;100;2;
THE_ITALIAN_(RADCLIFFE_NOVEL);1;90;2;
THE_JOLLY_CORNER;;;;
THE_JUNGLE_BOOK;;;;
THE_KELLYS_AND_THE_O'KELLYS;;;;
THE_KING_AND_QUEEN_OF_HEARTS;;;;
THE_KING_OF_THE_GOLDEN_RIVER;;;;
THE_KING_OF_THE_PIRATES;;;;
THE_KING'S_OWN;;;;
THE_LANCASHIRE_WITCHES;;;;
THE_LAND_IRONCLADS;;;;
THE_LANDLEAGUERS;;;;
THE_LAST_DAYS_OF_POMPEII;;;;
THE_LAST_MAN;;;;
THE_LAW_AND_THE_LADY_(NOVEL);;;;
THE_LIFE_AND_OPINIONS_OF_TRISTRAM_SHANDY_GENTLEMAN;1;90;7;
THE_LIFE_OF_HARRIOT_STUART;;;;
THE_LIFE_OF_JOHN_BUNCLE;;;;
THE_LIFTED_VEIL_(NOVELLA);;;;
THE_LIGHT_PRINCESS;;;;
THE_LIGHTHOUSE;;;;
THE_LITTLE_LAME_PRINCE_AND_HIS_TRAVELLING_CLOAK;;;;
THE_LITTLE_MINISTER;;;;
THE_LONGEST_JOURNEY;;;;
THE_LOUGH_DERG_PILGRIM;;;;
THE_LUCK_OF_BARRY_LYNDON;;;;
THE_MACDERMOTS_OF_BALLYCORAN;;;;
THE_MAN;;;;
THE_MAN_OF_FEELING;1;100;2;
THE_MAN_WHO_COULD_WORK_MIRACLES_(SHORT_STORY);;;;
THE_MAN_WHO_WAS_THURSDAY;;;;
THE_MAN_WHO_WOULD_BE_KING;;;;
THE_MANXMAN;;;;
THE_MARTIAN;;;;
THE_MASTER_OF_BALLANTRAE;1;100;1;
THE_MAYOR_OF_CASTERBRIDGE;1;100;3;
THE_MEMOIRS_OF_MISS_SIDNEY_BIDULPH;;;;
THE_MERCENARY_LOVER;;;;
THE_MILL_ON_THE_FLOSS;1;100;6;
THE_MIRROR_OF_THE_SEA;;;;
THE_MISFORTUNES_OF_ELPHIN;;;;
THE_MONASTERY;;;;
THE_MONK;1;100;5;
THE_MOONSTONE;1;100;3;
THE_MUDFOG_PAPERS;;;;
THE_MUMMER'S_WIFE;;;;
THE_MURDERED_COUSIN;;;;
THE_MYSTERIES_OF_LONDON;;;;
THE_MYSTERIES_OF_UDOLPHO;1;100;7;
THE_MYSTERY_OF_A_HANSOM_CAB;;;;
THE_MYSTERY_OF_EDWIN_DROOD;;;;
THE_NETHER_WORLD;1;100;1;
THE_NEW_ACCELERATOR;;;;
THE_NEW_MACHIAVELLI;;;;
THE_NEW_MAGDALEN;;;;
THE_NEW_ROAD;;;;
THE_NEWCOMES;;;;
"THE_NIGGER_OF_THE_NARCISSUS""";1;96.42857143;1;
THE_NOTTING_HILL_MYSTERY;;;;
THE_ODD_WOMEN;;;;
THE_O'DONOGHUE;;;;
THE_OLD_CURIOSITY_SHOP;;;;
THE_OLD_ENGLISH_BARON;1;100;1;
THE_OLD_MANOR_HOUSE;1;100;1;
THE_OLD_WIVES'_TALE;1;100;1;
THE_ORDEAL_OF_RICHARD_FEVEREL;;;;
THE_OUTCAST;;;;
THE_PARASITE;;;;
THE_PARENT'S_ASSISTANT;;;;
THE_PERILS_OF_CERTAIN_ENGLISH_PRISONERS;;;;
THE_PHANTOM_COACH;;;;
THE_PHOENIX_AND_THE_CARPET;;;;
THE_PICKWICK_PAPERS;;;;
THE_PICTURE_OF_DORIAN_GRAY;1;100;7;
THE_PIRATE_(NOVEL);;;;
THE_POINT_OF_VIEW;;;;
THE_PORTRAIT_OF_A_LADY;;;;
THE_PORTRAIT_OF_MR._W._H.;;;;
THE_PRIME_MINISTER;;;;
THE_PRINCESS_AND_THE_GOBLIN;;;;
THE_PRINCESS_CASAMASSIMA;;;;
THE_PRIVATE_MEMOIRS_AND_CONFESSIONS_OF_A_JUSTIFIED_SINNER;1;100;2;
THE_PRIVATE_PAPERS_OF_HENRY_RYECROFT;;;;
THE_PROFESSOR_(NOVEL);;;;
THE_PROVOST;;;;
THE_PURCELL_PAPERS;;;;
THE_QUADROON;;;;
THE_QUIET_HEART;;;;
THE_RAGGED-TROUSERED_PHILANTHROPISTS;;;;
THE_REAL_CHARLOTTE;;;;
THE_RECOLLECTIONS_OF_GEOFFREY_HAMLYN;;;;
THE_REFORM'D_COQUET;;;;
THE_RETURN_OF_THE_NATIVE;1;94.11764706;3;
THE_REVOLUTION_IN_TANNER'S_LANE;;;;
THE_RIDDLE_OF_THE_SANDS;;;;
THE_ROMANCE_OF_A_SHOP;;;;
THE_ROMANCE_OF_THE_FOREST;1;100;1;
THE_ROMANY_RYE;;;;
THE_ROSARY;;;;
THE_ROSE_AND_THE_RING;;;;
THE_SCOTTISH_CHIEFS;;;;
THE_SEAFARER;;;;
THE_SECOND_JUNGLE_BOOK;;;;
THE_SECRET_AGENT;1;100;1;
THE_SECRET_GARDEN;1;100;1;
THE_SECRET_ROSE;;;;
THE_SECRET_SHARER;;;;
THE_SETTLERS_IN_CANADA;;;;
THE_SHADOW_OF_A_CRIME_1885;;;;
THE_SHADOW_OF_ASHLYDYAT;;;;
THE_SIGNAL-MAN;;;;
THE_SILVERADO_SQUATTERS;;;;
THE_SLEEPER_AWAKES;;;;
THE_SMALL_HOUSE_AT_ALLINGTON;1;100;1;
THE_SORROWS_OF_SATAN;;;;
THE_SPOILS_OF_POYNTON;;;;
THE_STICKIT_MINISTER;;;;
THE_STORY_OF_A_MODERN_WOMAN;;;;
THE_STORY_OF_MY_HEART;;;;
THE_STORY_OF_THE_AMULET;;;;
THE_STORY_OF_THE_TREASURE_SEEKERS;;;;
THE_STRING_OF_PEARLS;;;;
THE_TAILOR_OF_GLOUCESTER;;;;
THE_TALE_OF_MR_JEREMY_FISHER;;;;
THE_TALE_OF_PETER_RABBIT;;;;
THE_TALISMAN_(SCOTT_NOVEL);;;;
THE_TENANT_OF_WILDFELL_HALL;1;100;1;
THE_TENANTS_OF_MALORY;;;;
THE_THORN_IN_THE_FLESH;;;;
THE_THREE_BROTHERS;;;;
THE_THREE_MIDSHIPMEN;;;;
THE_THREE_PERILS_OF_MAN;;;;
THE_TIME_MACHINE;1;100;7;
THE_TITHE_PROCTOR;;;;
THE_TOWER_OF_LONDON_(NOVEL);;;;
THE_TRAIL_OF_THE_SERPENT;;;;
THE_TRIUMPH_OF_PRUDENCE_OVER_PASSION;;;;
THE_TRUMPET;;;;
THE_TURN_OF_THE_SCREW;1;100;1;
THE_UNCLASSED;;;;
THE_UNTILLED_FIELD;;;;
THE_VAMPYRE;;;;
THE_VICAR_OF_WAKEFIELD;1;90.90909091;6;
THE_VICAR_OF_WREXHILL;;;;
THE_VILLAGE_IN_THE_JUNGLE;;;;
THE_VIRGINIANS;;;;
THE_WAR_IN_THE_AIR;;;;
THE_WARDEN;1;100;2;
THE_WATER-BABIES_A_FAIRY_TALE_FOR_A_LAND_BABY;;;;
THE_WAY_OF_ALL_FLESH;1;100;2;
THE_WAY_WE_LIVE_NOW;1;100;3;
THE_WELL_AT_THE_WORLD'S_END;;;;
THE_WELL-BELOVED;;;;
THE_WHIRLPOOL;;;;
THE_WHITE_COMPANY;;;;
THE_WHITE_PEACOCK;;;;
THE_WHITE_ROOM;;;;
THE_WIDOW_BARNABY;;;;
THE_WILD_IRISH_GIRL;1;100;1;
THE_WIND_IN_THE_WILLOWS;;;;
THE_WINGS_OF_A_DOVE;;;;
THE_WOMAN_IN_WHITE_(NOVEL);1;95;5;
THE_WOODLANDERS;;;;
THE_WORLD_SET_FREE;;;;
THE_WOULDBEGOODS;;;;
THE_WRECKER;;;;
THE_YOUNG_BUGLERS;;;;
THE_YOUNG_DUKE;;;;
THE_YOUNG_FUR_TRADERS;;;;
THREE_WEEKS;;;;
THROUGH_THE_LOOKING-GLASS;1;100;3;
THYRZA;;;;
TIME_AND_THE_GODS;;;;
TOM_BROWN'S_SCHOOL_DAYS;;;;
TOMMY_AND_GRIZEL;;;;
TONO-BUNGAY;;;;
TREASURE_ISLAND;1;100;2;
TRILBY_(NOVEL);;;;
TWO_LITTLE_SAVAGES;;;;
TWO_ON_A_TOWER;;;;
TYPHOON;;;;
UNCLE_SILAS;;;;
UNDER_THE_GREENWOOD_TREE;;;;
UNDER_WESTERN_EYES_(NOVEL);;;;
UNKNOWN_TO_HISTORY;;;;
VALPERGA;1;100;1;
VANITY_FAIR_(NOVEL);1;90;7;
VARNEY_THE_VAMPIRE;;;;
VATHEK;1;100;4;
VERTUE_REWARDED;;;;
VILLETTE_(NOVEL);1;90;3;
VIVIAN_GREY;;;;
VRIL;;;;
WAVERLEY;1;100;7;
WAYFARERS;;;;
WEIR_OF_HERMISTON;;;;
WESTWARD_HO;;;;
WET_MAGIC;;;;
WHAT_MAISIE_KNEW;;;;
WILD_ANIMALS_I_HAVE_KNOWN;;;;
WILLING_TO_DIE;;;;
WINTER_EVENING_TALES;;;;
WITH_THE_NIGHT_MAIL;;;;
WIVES_AND_DAUGHTERS;1;100;1;
WUTHERING_HEIGHTS;1;100;7;
YEAST;;;;
ZASTROZZI;;;;
ZOE;;;;
ZULEIKA_DOBSON;;;;
