title;wikiname;1794_Manchester;1809_Storry;1829_Hookham_novels-romances;1873_Mudies;1907_Mudies;sum_libraries;binary;best_match_circl;circl
a beleaguered city;A_BELEAGUERED_CITY;0;0;0;0;1;1;1;a beleaguered city;1
a child of the jago;A_CHILD_OF_THE_JAGO;0;0;0;0;1;1;1;a child of the jago;1
a christmas carol. in prose. being a ghost story of christmas;A_CHRISTMAS_CAROL;0;0;0;0;1;1;1;a christmas carol. in prose. being a ghost story of christmas;1
NA;A_COMPLETE_COLLECTION_OF_GENTEEL_AND_INGENIOUS_CONVERSATION;0;0;0;0;0;0;0;NA;0
NA;A_CRYSTAL_AGE;0;0;0;0;1;1;1;NA;0
NA;A_DARK_NIGHT'S_WORK;0;0;0;1;0;1;1;NA;0
a drama in muslin;A_DRAMA_IN_MUSLIN;0;0;0;0;1;1;1;a drama in muslin;1
NA;A_DREAM_OF_JOHN_BALL;0;0;0;0;1;1;1;NA;0
NA;A_HOLIDAY_ROMANCE;0;0;0;0;0;0;0;NA;0
NA;A_HOUSE_TO_LET;0;0;0;0;0;0;0;NA;0
journal of the plague year;A_JOURNAL_OF_THE_PLAGUE_YEAR;0;0;0;0;0;0;0;journal of the plague year;1
NA;A_JOURNEY_FROM_THIS_WORLD_TO_THE_NEXT;0;0;0;0;0;0;0;NA;0
NA;A_LADY'S_LIFE_IN_THE_ROCKY_MOUNTAINS;0;0;0;0;0;0;0;NA;0
NA;A_LAODICEAN;0;0;0;0;0;0;0;NA;0
a legend of montrose;A_LEGEND_OF_MONTROSE;0;0;0;1;1;2;1;a legend of montrose;1
NA;A_LITTLE_PRINCESS;0;0;0;0;0;0;0;NA;0
NA;A_MERE_ACCIDENT;0;0;0;0;0;0;0;NA;0
a modern utopia;A_MODERN_UTOPIA;0;0;0;0;0;0;0;a modern utopia;1
NA;A_MODEST_PROPOSAL;0;0;0;0;0;0;0;NA;0
a pair of blue eyes;A_PAIR_OF_BLUE_EYES;0;0;0;0;1;1;1;a pair of blue eyes;1
a patchwork screen for the ladies;A_PATCH-WORK_SCREEN_FOR_THE_LADIES;0;0;0;0;0;0;0;a patchwork screen for the ladies;1
NA;A_POLITICAL_ROMANCE;0;0;0;0;1;1;1;NA;0
NA;A_RIDE_ACROSS_PALESTINE;0;0;0;0;0;0;0;NA;0
NA;A_ROMANCE_OF_TWO_WORLDS;0;0;0;0;1;1;1;NA;0
a room with a view;A_ROOM_WITH_A_VIEW;0;0;0;0;0;0;0;a room with a view;1
a sentimental journey;A_SENTIMENTAL_JOURNEY_THROUGH_FRANCE_AND_ITALY;1;1;1;0;0;3;1;a sentimental journey;1
a sicilian romance;A_SICILIAN_ROMANCE;1;0;1;0;0;2;1;a sicilian romance;1
a simple story;A_SIMPLE_STORY;0;1;1;1;0;3;1;a simple story;1
a son of the soil;A_SON_OF_THE_SOIL;0;0;0;0;1;1;1;a son of the soil;1
NA;A_SPORTSMAN'S_SKETCHES;0;0;0;0;1;1;1;NA;0
the story of the stone age;A_STORY_OF_THE_STONE_AGE;0;0;0;0;1;1;1;the story of the stone age;1
a study in scarlet;A_STUDY_IN_SCARLET;0;0;0;0;1;1;1;a study in scarlet;1
a tale of tub;A_TALE_OF_A_TUB;0;0;0;0;0;0;0;a tale of tub;1
a tale of two cities;A_TALE_OF_TWO_CITIES;0;0;0;1;1;2;1;a tale of two cities;1
a window in thrums;A_WINDOW_IN_THRUMS;0;0;0;0;1;1;1;a window in thrums;1
NA;A_WORLD_OF_GIRLS;0;0;0;0;1;1;1;NA;0
NA;ACROSS_THE_ZODIAC;0;0;0;0;1;1;1;NA;0
NA;ACTIONS_AND_REACTIONS;0;0;0;0;0;0;0;NA;0
adam bede;ADAM_BEDE;0;0;0;1;1;2;1;adam bede;1
adela cathcart;ADELA_CATHCART;0;0;0;0;1;1;1;adela cathcart;1
adeline mowbray, or, the mother and daughter;ADELINE_MOWBRAY;0;1;0;0;0;1;1;adeline mowbray, or, the mother and daughter;1
NA;ADVENTURES_OF_A_PINCUSHION;0;0;0;0;0;0;0;NA;0
NA;AFTER_DARK;0;0;0;0;1;1;1;NA;0
NA;"AFTER_LONDON;_OR,_WILD_ENGLAND";0;0;0;0;0;0;0;NA;0
agnes grey, a novel;AGNES_GREY;0;0;0;0;1;1;1;agnes grey, a novel;1
alec forbes of howglen;ALEC_FORBES_OF_HOWGLEN;0;0;0;1;1;2;1;alec forbes of howglen;1
alice's adventures in wonderland;ALICE'S_ADVENTURES_IN_WONDERLAND;0;0;0;1;1;2;1;alice's adventures in wonderland;1
NA;ALL_SORTS_AND_CONDITIONS_OF_MEN;0;0;0;0;1;1;1;NA;0
NA;ALLAN_QUATERMAIN_(NOVEL);0;0;0;0;1;1;1;NA;0
almayer's folly;ALMAYER'S_FOLLY;0;0;0;0;1;1;1;almayer's folly;1
alton locke;ALTON_LOCKE;0;0;0;1;1;2;1;alton locke;1
NA;AMY_FOSTER;0;0;0;0;0;0;0;NA;0
shamela;AN_APOLOGY_FOR_THE_LIFE_OF_MRS._SHAMELA_ANDREWS;0;0;0;0;0;0;0;shamela;1
an irish cousin;AN_IRISH_COUSIN;0;0;0;0;1;1;1;an irish cousin;1
NA;AN_OUTCAST_OF_THE_ISLANDS;0;0;0;0;1;1;1;NA;0
ann veronica;ANN_VERONICA;0;0;0;0;0;0;0;ann veronica;1
anna st. ives;ANNA_ST_IVES;1;1;1;0;0;3;1;anna st. ives;1
"annals of the parish: or, the chronicle of dalmailing; during the ministry of the rev. micah balwhidder, written by himself";ANNALS_OF_THE_PARISH;0;0;1;0;1;2;1;"annals of the parish: or, the chronicle of dalmailing; during the ministry of the rev. micah balwhidder, written by himself";1
NA;ANTAR;0;0;0;0;0;0;0;NA;0
armadale;ARMADALE;0;0;0;1;1;2;1;armadale;1
NA;ARTHUR_MERVYN;0;0;1;0;0;1;1;NA;0
NA;AT_THE_BACK_OF_THE_NORTH_WIND;0;0;0;1;1;2;1;NA;0
at the end of the passage;AT_THE_END_OF_THE_PASSAGE;0;0;0;0;0;0;0;at the end of the passage;1
auld licht idylls;AULD_LICHT_IDYLLS;0;0;0;0;0;0;0;auld licht idylls;1
aurora floyd;AURORA_FLOYD;0;0;0;1;1;2;1;aurora floyd;1
NA;AYESHA_(NOVEL);0;0;0;0;0;0;0;NA;0
barchester towers;BARCHESTER_TOWERS;0;0;0;1;1;2;1;barchester towers;1
NA;BASIL;0;0;0;0;1;1;1;NA;0
belinda;BELINDA;0;1;1;0;1;3;1;belinda;1
black beauty;BLACK_BEAUTY;0;0;0;0;0;0;0;black beauty;1
bleack house;BLEAK_HOUSE;0;0;0;1;1;2;1;bleack house;1
NA;BLIND_LOVE;0;0;0;0;1;1;1;NA;0
born in exile;BORN_IN_EXILE;0;0;0;0;1;1;1;born in exile;1
NA;BROKEN_TO_HARNESS;0;0;0;0;1;1;1;NA;0
things as they are, or the adventures of caleb williams;CALEB_WILLIAMS;0;0;1;1;1;3;1;things as they are, or the adventures of caleb williams;1
NA;CALLISTA_(NOVEL);0;1;0;0;0;1;1;NA;0
NA;CAMILLA;0;0;0;0;0;0;0;NA;0
NA;CAPTAIN_SINGLETON;0;0;0;0;0;0;0;NA;0
captains courageous;CAPTAINS_COURAGEOUS;0;0;0;0;1;1;1;captains courageous;1
carmilla;CARMILLA;0;0;0;1;1;2;1;carmilla;1
NA;CARNIVAL;0;0;0;0;0;0;0;NA;0
NA;CARROTS;0;0;0;0;0;0;0;NA;0
castle rackrent;CASTLE_RACKRENT;0;1;1;0;1;3;1;castle rackrent;1
NA;CASTLE_RICHMOND;0;0;0;0;1;1;1;NA;0
NA;CATHERINE,_A_STORY;0;0;0;0;0;0;0;NA;0
NA;CATRIONA;0;0;0;0;0;0;0;NA;0
cecilia, memoirs of an heiress;CECILIA;0;0;1;0;1;2;1;cecilia, memoirs of an heiress;1
celestina;CELESTINA;1;0;1;0;0;2;1;celestina;1
NA;CELIBATES;0;0;0;0;1;1;1;NA;0
chance;CHANCE;0;0;0;0;0;0;0;chance;1
NA;CHARLOTTE_TEMPLE;0;0;0;0;0;0;0;NA;0
NA;CHILDREN_OF_THE_GHETTO;0;0;0;0;1;1;1;NA;0
chronicles of the canongate;CHRONICLES_OF_THE_CANONGATE;0;0;1;1;0;2;1;chronicles of the canongate;1
NA;CITY_SCENES;0;0;0;0;0;0;0;NA;0
clarissa, or, the history of a young lady;CLARISSA;0;1;1;0;1;3;1;clarissa, or, the history of a young lady;1
cleg kelly, arab of the city: his progress and adventures;CLEG_KELLY;0;0;0;0;1;1;1;cleg kelly, arab of the city: his progress and adventures;1
NA;COCK_AND_ANCHOR;0;0;0;0;1;1;1;NA;0
coelebs in search of a wife;COELEBS_IN_SEARCH_OF_A_WIFE;0;1;1;0;0;2;1;coelebs in search of a wife;1
cometh up as a flower;COMETH_UP_AS_A_FLOWER;0;0;0;1;1;2;1;cometh up as a flower;1
NA;CONFESSIONS_OF_A_THUG_(NOVEL);0;0;0;0;1;1;1;NA;0
confessions of a young man;CONFESSIONS_OF_A_YOUNG_MAN;0;0;0;0;1;1;1;confessions of a young man;1
confessions of an english opium-eater;CONFESSIONS_OF_AN_ENGLISH_OPIUM-EATER;0;0;1;0;0;1;1;confessions of an english opium-eater;1
coningsby, or the new generation;CONINGSBY;0;0;0;1;1;2;1;coningsby, or the new generation;1
the coral island: a tale of the pacific ocean;CORAL_ISLAND;0;0;0;0;1;1;1;the coral island: a tale of the pacific ocean;1
NA;COUNT_ROBERT_OF_PARIS;0;0;0;0;1;1;1;NA;0
cousin phillis;COUSIN_PHILLIS;0;0;0;1;1;2;1;cousin phillis;1
cranford;CRANFORD_(NOVEL);0;0;0;1;1;2;1;cranford;1
crotchet castle;CROTCHET_CASTLE;0;0;1;0;1;2;1;crotchet castle;1
daniel deronda;DANIEL_DERONDA;0;0;0;0;1;1;1;daniel deronda;1
NA;DAUGHTERS_OF_MEN;0;0;0;0;1;1;1;NA;0
NA;DAVID_COPPERFIELD;0;0;0;1;1;2;1;NA;0
david elginbrod;DAVID_ELGINBROD;0;0;0;1;1;2;1;david elginbrod;1
NA;DE_PROFUNDIS_(LETTER);0;0;0;0;0;0;0;NA;0
deerbrook;DEERBROOK;0;0;0;1;1;2;1;deerbrook;1
demos: a story of english socialism;DEMOS;0;0;0;0;1;1;1;demos: a story of english socialism;1
desperate remedies;DESPERATE_REMEDIES;0;0;0;1;1;2;1;desperate remedies;1
diana of the crossways;DIANA_OF_THE_CROSSWAYS;0;0;0;0;1;1;1;diana of the crossways;1
discipline;DISCIPLINE;0;0;1;0;0;1;1;discipline;1
NA;DOCTOR_THORNE;0;0;0;0;1;1;1;NA;0
dombey and son;DOMBEY_AND_SON;0;0;0;1;1;2;1;dombey and son;1
the strange case of dr jekyll and mr hyde;DR_JEKYLL_AND_MR_HYDE;0;0;0;0;1;1;1;the strange case of dr jekyll and mr hyde;1
dracula;DRACULA;0;0;0;0;1;1;1;dracula;1
NA;DREAMERS_OF_THE_GHETTO;0;0;0;0;1;1;1;NA;0
NA;DUBLINERS;0;0;0;0;0;0;0;NA;0
east lynne;EAST_LYNNE;0;0;0;1;1;2;1;east lynne;1
emma;EMMA_(NOVEL);0;0;1;1;1;3;1;emma;1
"emma; or, the unforunate attachment";EMMA_OR_THE_UNFORTUNATE_ATTACHMENT;0;0;1;0;0;1;1;"emma; or, the unforunate attachment";1
emmeline, the orphan of the castle;EMMELINE;0;0;1;0;0;1;1;emmeline, the orphan of the castle;1
NA;ENNUI;0;0;0;0;0;0;0;NA;0
erewhon: or, over the range;EREWHON;0;0;0;0;1;1;1;erewhon: or, over the range;1
NA;EREWHON_REVISITED;0;0;0;0;1;1;1;NA;0
NA;ERIC_OR_LITTLE_BY_LITTLE;0;0;0;1;1;2;1;NA;0
NA;ESTHER;0;0;0;0;0;0;0;NA;0
esther waters;ESTHER_WATERS;0;0;0;0;1;1;1;esther waters;1
eugene aram;EUGENE_ARAM_(NOVEL);0;0;0;1;1;2;1;eugene aram;1
eveline;EVELINA;1;0;0;0;1;2;1;eveline;1
NA;EVENINGS_AT_HOME;0;1;0;0;0;1;1;NA;0
"exilus; or, the banish'd roman";EXILUS;0;0;0;0;0;0;0;"exilus; or, the banish'd roman";1
fanny hill;FANNY_HILL;0;0;0;0;0;0;0;fanny hill;1
"fantomina; or, love in a maze";FANTOMINA;0;0;0;0;0;0;0;"fantomina; or, love in a maze";1
far from the madding crowd;FAR_FROM_THE_MADDING_CROWD;0;0;0;0;1;1;1;far from the madding crowd;1
fardorougha the miser;FARDOROUGHA_THE_MISER;0;0;0;0;1;1;1;fardorougha the miser;1
felix holt, the radical;FELIX_HOLT_THE_RADICAL;0;0;0;1;1;2;1;felix holt, the radical;1
NA;FIVE_CHILDREN_AND_IT;0;0;0;0;1;1;1;NA;0
NA;FLATLAND;0;0;0;0;0;0;0;NA;0
NA;FOR_THE_TERM_OF_HIS_NATURAL_LIFE;0;0;0;0;1;1;1;NA;0
NA;FORTUNATE_FOUNDLINGS;0;1;0;0;0;1;1;NA;0
"frankenstein; or, the modern prometheus";FRANKENSTEIN;0;0;0;0;1;1;1;"frankenstein; or, the modern prometheus";1
NA;GHETTO_TRAGEDIES;0;0;0;0;1;1;1;NA;0
glenarvon;GLENARVON;0;0;1;0;0;1;1;glenarvon;1
going to maynooth;GOING_TO_MAYNOOTH;0;0;0;0;1;1;1;going to maynooth;1
NA;GRANNY'S_WONDERFUL_CHAIR;0;0;0;0;0;0;0;NA;0
great expectations;GREAT_EXPECTATIONS;0;0;0;1;1;2;1;great expectations;1
gulliver's travels;GULLIVER'S_TRAVELS;0;1;0;1;1;3;1;gulliver's travels;1
guy mannering;GUY_MANNERING;0;0;0;1;1;2;1;guy mannering;1
NA;HALF_A_LIFE-TIME_AGO;0;0;0;0;0;0;0;NA;0
hard cash;HARD_CASH_(NOVEL);0;0;0;1;1;2;1;hard cash;1
NA;HARD_TIMES_(NOVEL);0;0;0;0;1;1;1;NA;0
harrington;HARRINGTON;0;0;1;0;1;2;1;harrington;1
hauntings;HAUNTINGS;0;0;0;0;1;1;1;hauntings;1
NA;HE_KNEW_HE_WAS_RIGHT;0;0;0;1;1;2;1;NA;0
headlong hall;HEADLONG_HALL;0;0;1;0;1;2;1;headlong hall;1
NA;HEART_AND_SCIENCE;0;0;0;0;1;1;1;NA;0
heart of darkness;HEART_OF_DARKNESS;0;0;0;0;0;0;0;heart of darkness;1
NA;HELBECK_OF_BANNISDALE;0;0;0;0;1;1;1;NA;0
helen;HELEN;0;0;0;0;1;1;1;helen;1
NA;HENRY_DUNBAR;0;0;0;0;1;1;1;NA;0
NA;HEREWARD_THE_WAKE_(NOVEL);0;0;0;0;1;1;1;NA;0
NA;HERMSPRONG;0;0;0;0;0;0;0;NA;0
hester;HESTER;0;0;0;0;1;1;1;hester;1
NA;HIDE_AND_SEEK;0;0;1;0;1;2;1;NA;0
NA;HISTORY_OF_JOHN_BULL;0;0;0;0;0;0;0;NA;0
NA;HOLIDAY_HOUSE;0;0;0;0;0;0;0;NA;0
howards end;HOWARDS_END;0;0;0;0;0;0;0;howards end;1
NA;HYMNS_IN_PROSE_FOR_CHILDREN;0;0;0;0;0;0;0;NA;0
NA;IMAGINARY_PORTRAITS;0;0;0;0;0;0;0;NA;0
NA;IMPRESSIONS_OF_THEOPHRASTUS_SUCH;0;0;0;0;0;0;0;NA;0
NA;IN_A_GLASS_DARKLY;0;0;0;0;1;1;1;NA;0
in the year of jubilee;IN_THE_YEAR_OF_JUBILEE;0;0;0;0;1;1;1;in the year of jubilee;1
it is never too late to mend;IT_IS_NEVER_TOO_LATE_TO_MEND_(NOVEL);0;0;0;1;1;2;1;it is never too late to mend;1
ivanhoe;IVANHOE;0;0;0;1;1;2;1;ivanhoe;1
NA;JACK_SHEPPARD;0;0;0;0;0;0;0;NA;0
jane eyre: an autobiography;JANE_EYRE;0;0;0;1;1;2;1;jane eyre: an autobiography;1
jessica's first prayer;JESSICA'S_FIRST_PRAYER;0;0;0;0;1;1;1;jessica's first prayer;1
NA;JEZEBEL'S_DAUGHTER;0;0;0;0;1;1;1;NA;0
john burnet of barns: a romance;JOHN_BURNET_OF_BARNS;0;0;0;0;1;1;1;john burnet of barns: a romance;1
john halifax, gentleman;JOHN_HALIFAX_GENTLEMAN;0;0;0;1;1;2;1;john halifax, gentleman;1
the history of the life of the late mr. jonathan wild the great;JONATHAN_WILD;0;0;0;0;1;1;1;the history of the life of the late mr. jonathan wild the great;1
jorrock's jaunts and jollities;JORROCK'S_JAUNTS_AND_JOLLITIES;0;0;0;0;1;1;1;jorrock's jaunts and jollities;1
joseph andrews;JOSEPH_ANDREWS;0;0;1;0;1;2;1;joseph andrews;1
jude the obscure;JUDE_THE_OBSCURE;0;0;0;0;1;1;1;jude the obscure;1
NA;JUST_SO_STORIES;0;0;0;0;1;1;1;NA;0
kenilworth;KENILWORTH;0;0;0;1;1;2;1;kenilworth;1
kidnapped;KIDNAPPED_(NOVEL);0;0;0;0;1;1;1;kidnapped;1
kim;KIM_(NOVEL);0;0;0;0;1;1;1;kim;1
king solomon's mines;KING_SOLOMON'S_MINES;0;0;0;0;1;1;1;king solomon's mines;1
kipps;KIPPS;0;0;0;0;1;1;1;kipps;1
knockagow;KNOCKNAGOW;0;0;0;0;0;0;0;knockagow;1
lady audley's secret;LADY_AUDLEY'S_SECRET;0;0;0;1;1;2;1;lady audley's secret;1
NA;LEVER'S_LORD_KILGOBBIN;0;0;0;1;1;2;1;NA;0
liber amoris;LIBER_AMORIS;0;0;1;0;0;1;1;liber amoris;1
NA;LIFE_AND_ADVENTURES_OF_PETER_WILKINS;0;0;0;0;0;0;0;NA;0
NA;LIFE_AND_PERAMBULATIONS_OF_A_MOUSE;0;0;0;0;0;0;0;NA;0
NA;LIFE'S_LITTLE_IRONIES;0;0;0;0;1;1;1;NA;0
lilith;LILITH;0;0;0;0;1;1;1;lilith;1
little dorrit;LITTLE_DORRIT;0;0;0;1;1;2;1;little dorrit;1
NA;LITTLE_LORD_FAUNTLEROY;0;0;0;0;1;1;1;NA;0
NA;LONGSWORD_(NOVEL);0;0;0;0;0;0;0;NA;0
lord jim;LORD_JIM;0;0;0;0;1;1;1;lord jim;1
lorna doone, a romance of exmoor;LORNA_DOONE;0;0;0;1;1;2;1;lorna doone, a romance of exmoor;1
loss and gain: the story of a convert;LOSS_AND_GAIN;0;0;0;0;0;0;0;loss and gain: the story of a convert;1
NA;LOST_DIARIES;0;0;0;0;0;0;0;NA;0
NA;LOVE_AMONG_THE_RUINS;0;0;0;0;1;1;1;NA;0
NA;LOVE_AND_MADNESS;0;0;0;0;0;0;0;NA;0
love and mr lewisham;LOVE_AND_MR_LEWISHAM;0;0;0;0;1;1;1;love and mr lewisham;1
NA;"LOVE_IN_EXCESS;_OR_THE_FATAL_ENQUIRY";0;0;0;0;0;0;0;NA;0
love intrigues: or, the history of the amours of bosvil and galesia;LOVE_INTRIGUES;0;0;0;0;0;0;0;love intrigues: or, the history of the amours of bosvil and galesia;1
NA;MADAM_HOW_AND_LADY_WHY;0;0;0;0;0;0;0;NA;0
man and wife;MAN_AND_WIFE_(NOVEL);0;0;0;1;1;2;1;man and wife;1
mansfield park;MANSFIELD_PARK;0;0;1;1;1;3;1;mansfield park;1
NA;MARIA_OR_THE_WRONGS_OF_WOMAN;0;0;0;0;0;0;0;NA;0
NA;MARIUS_THE_EPICUREAN;0;0;0;0;1;1;1;NA;0
marriage;MARRIAGE;0;0;1;1;1;3;1;marriage;1
the life and adventures of martin chuzzlewit;MARTIN_CHUZZLEWIT;0;0;0;1;1;2;1;the life and adventures of martin chuzzlewit;1
mary: a fiction;MARY_A_FICTION;1;0;1;0;0;2;1;mary: a fiction;1
mary barton: a tale of manchester life;MARY_BARTON;0;0;0;1;1;2;1;mary barton: a tale of manchester life;1
NA;MASTERMAN_READY_OR_THE_WRECK_OF_THE_PACIFIC;0;0;0;1;0;1;1;NA;0
mathilda;MATHILDA;0;0;0;0;0;0;0;mathilda;1
NA;MAX;0;0;0;0;1;1;1;NA;0
NA;MAZEPPA;0;0;0;0;0;0;0;NA;0
melmoth the wanderer;MELMOTH_THE_WANDERER;0;0;0;0;0;0;0;melmoth the wanderer;1
NA;MEMOIRS_OF_A_CAVALIER;0;0;0;0;0;0;0;NA;0
NA;MEMOIRS_OF_A_MAGDALEN;0;0;0;0;0;0;0;NA;0
